symbol,investing_slug,earnings_url,is_active,notes
OYAKC,,https://tr.investing.com/equities/mardin-cimento-earnings,true,verified_2026-05-13_legacy_mardin_cimento_alias
OYLUM,,https://tr.investing.com/equities/oylum-sinai-yatirimlar-as-earnings,true,verified_2026-05-13
OZATD,,https://tr.investing.com/equities/ozata-denizcilik-sanayi-ve-ticaret-earnings,true,verified_2026-05-13
OZRDN,,https://tr.investing.com/equities/ozerden-plastik-sanayi-earnings,true,verified_2026-05-13
OZSUB,,https://tr.investing.com/equities/ozsu-balik-uretim-as-earnings,true,verified_2026-05-13
OZYSR,,https://tr.investing.com/equities/ozyasar-tel-ve-galvanizleme-sanayi-earnings,true,verified_2026-05-13
PARSN,,https://tr.investing.com/equities/parsan-earnings,true,verified_2026-05-13
PENGD,,https://tr.investing.com/equities/penguen-gida-earnings,true,verified_2026-05-13
PETKM,,https://tr.investing.com/equities/petkim-earnings,true,verified_2026-05-13
PETUN,,https://tr.investing.com/equities/pinar-et-ve-un-earnings,true,verified_2026-05-13
PINSU,,https://tr.investing.com/equities/pinar-su-earnings,true,verified_2026-05-13
PNLSN,,https://tr.investing.com/equities/panelsan-cati-cephe-sistemleri-earnings,true,verified_2026-05-13
PNSUT,,https://tr.investing.com/equities/pinar-sut-earnings,true,verified_2026-05-13
POLTK,,https://tr.investing.com/equities/politeknik-metal-sanayi-ve-t-earnings,true,verified_2026-05-13
PRKAB,,https://tr.investing.com/equities/turk-prysmian-kablo-earnings,true,verified_2026-05-13
PRKME,,https://tr.investing.com/equities/park-elek.madencilik-earnings?cid=941113,true,verified_2026-05-13
PRZMA,,https://tr.investing.com/equities/prizma-pres-matbaacilik-yayincilik-earnings,true,verified_2026-05-13
QUAGR,,https://tr.investing.com/equities/qua-granite-hayal-earnings,true,verified_2026-05-13
RNPOL,,https://tr.investing.com/equities/rainbow-polikarbonat-earnings,true,verified_2026-05-13
RODRG,,https://tr.investing.com/equities/rodrigo-tekstil-sanayi-ve-ticaret-earnings,true,verified_2026-05-13
RTALB,,https://tr.investing.com/equities/rta-lab-biyoloji-earnings,true,verified_2026-05-13
